mass,mass_balance,mass_balance_trend
3.3064,-0.0007,-0.0036
3.3059,-0.0005,-0.0035
3.3050,-0.0008,-0.0034
3.3043,-0.0007,-0.0034
3.3031,-0.0012,-0.0033
3.3027,-0.0005,-0.0032
3.3020,-0.0007,-0.0032
3.3010,-0.0009,-0.0031
3.3002,-0.0009,-0.0030
3.3001,-0.0001,-0.0030
3.2997,-0.0004,-0.0029
3.2987,-0.0009,-0.0029
3.2979,-0.0008,-0.0028
3.2973,-0.0005,-0.0028
3.2975,0.0001,-0.0027
3.2971,-0.0004,-0.0027
3.2964,-0.0007,-0.0026
3.2965,0.0001,-0.0025
3.2967,0.0002,-0.0025
3.2961,-0.0006,-0.0024
3.2959,-0.0002,-0.0024
3.2955,-0.0004,-0.0023
3.2957,0.0002,-0.0023
3.2955,-0.0002,-0.0022
3.2951,-0.0004,-0.0022
3.2948,-0.0003,-0.0021
3.2949,0.0001,-0.0021
3.2947,-0.0001,-0.0020
3.2939,-0.0009,-0.0020
3.2939,0.0000,-0.0020
3.2940,0.0001,-0.0019
3.2934,-0.0006,-0.0019
3.2930,-0.0003,-0.0019
3.2933,0.0003,-0.0018
3.2933,0.0000,-0.0018
3.2928,-0.0006,-0.0017
3.2925,-0.0003,-0.0017
3.2923,-0.0002,-0.0017
3.2923,0.0000,-0.0016
3.2924,0.0001,-0.0016
3.2919,-0.0005,-0.0016
3.2921,0.0003,-0.0015
3.2923,0.0001,-0.0015
3.2919,-0.0004,-0.0014
3.2918,-0.0001,-0.0014
3.2923,0.0005,-0.0014
3.2927,0.0004,-0.0013
3.2929,0.0002,-0.0013
3.2925,-0.0004,-0.0013
3.2926,0.0001,-0.0012
3.2923,-0.0003,-0.0012
3.2921,-0.0002,-0.0011
3.2917,-0.0004,-0.0011
3.2917,-0.0000,-0.0011
3.2923,0.0006,-0.0010
3.2926,0.0003,-0.0010
3.2928,0.0001,-0.0010
3.2931,0.0004,-0.0009
3.2935,0.0004,-0.0009
3.2932,-0.0003,-0.0009
3.2929,-0.0003,-0.0008
3.2927,-0.0003,-0.0008
3.2928,0.0001,-0.0008
3.2928,0.0000,-0.0008
3.2925,-0.0003,-0.0007
3.2925,0.0000,-0.0007
3.2928,0.0003,-0.0007
3.2923,-0.0005,-0.0007
3.2920,-0.0003,-0.0007
3.2918,-0.0001,-0.0006
3.2917,-0.0002,-0.0006
3.2912,-0.0004,-0.0006
3.2911,-0.0001,-0.0006
3.2909,-0.0002,-0.0006
3.2909,-0.0001,-0.0006
3.2903,-0.0006,-0.0005
3.2899,-0.0004,-0.0005
3.2900,0.0001,-0.0005
3.2900,0.0000,-0.0005
3.2902,0.0002,-0.0005
3.2902,0.0000,-0.0004
3.2907,0.0004,-0.0004
3.2907,0.0001,-0.0004
3.2906,-0.0001,-0.0004
3.2905,-0.0001,-0.0004
3.2899,-0.0007,-0.0004
3.2898,-0.0001,-0.0003
3.2899,0.0001,-0.0003
3.2899,-0.0000,-0.0003
3.2902,0.0003,-0.0003
3.2905,0.0004,-0.0003
3.2905,-0.0001,-0.0003
3.2905,0.0000,-0.0002
3.2906,0.0001,-0.0002
3.2907,0.0001,-0.0002
3.2906,-0.0001,-0.0002
3.2904,-0.0002,-0.0002
3.2903,-0.0001,-0.0002
3.2906,0.0003,-0.0002
3.2909,0.0003,-0.0002
3.2909,-0.0000,-0.0002
3.2908,-0.0001,-0.0002
3.2914,0.0005,-0.0001
3.2912,-0.0002,-0.0001
3.2910,-0.0001,-0.0001
3.2910,-0.0001,-0.0001
3.2911,0.0002,-0.0001
3.2910,-0.0001,-0.0001
3.2910,-0.0001,-0.0001
